date,regime_zone,signal_score
2022-05-26,EUPHORIA,81.7575
2022-05-27,EUPHORIA,21.2014
2022-05-31,EUPHORIA,19.0037
2022-06-01,RISK-OFF,-72.317
2022-06-02,EUPHORIA,54.9321
2022-06-03,RISK-OFF,-23.0051
2022-06-06,RISK-OFF,-109.0818
2022-06-07,RISK-OFF,-46.3128
2022-06-08,NEUTRAL,1.2495
2022-06-09,RISK-OFF,-67.8474
2022-06-10,RISK-OFF,-69.3571
2022-06-13,RISK-OFF,-116.3878
2022-06-14,EUPHORIA,113.315
2022-06-15,EUPHORIA,39.9418
2022-06-16,RISK-OFF,-120.0797
2022-06-17,EUPHORIA,23.171
2022-06-21,EUPHORIA,14.6507
2022-06-22,RISK-OFF,-11.5726
2022-06-23,EUPHORIA,14.566
2022-06-24,RISK-ON,7.5814
2022-06-27,EUPHORIA,37.3348
2022-06-28,RISK-OFF,-39.0707
2022-06-29,EUPHORIA,40.399
2022-06-30,EUPHORIA,77.7503
2022-07-01,RISK-OFF,-37.6475
2022-07-05,RISK-OFF,-25.6859
2022-07-06,RISK-OFF,-14.1167
2022-07-07,NEUTRAL,-3.592
2022-07-08,EUPHORIA,44.0346
2022-07-11,RISK-OFF,-161.6945
2022-07-12,NEUTRAL,1.6952
2022-07-13,RISK-OFF,-41.2133
2022-07-14,RISK-OFF,-66.5389
2022-07-15,RISK-OFF,-20.5734
2022-07-18,RISK-OFF,-35.0029
2022-07-19,EUPHORIA,45.036
2022-07-20,RISK-OFF,-86.1812
2022-07-21,CAUTION,-7.3529
2022-07-22,RISK-OFF,-31.5499
2022-07-25,EUPHORIA,68.7586
2022-07-26,RISK-OFF,-16.6396
2022-07-27,EUPHORIA,97.7868
2022-07-28,EUPHORIA,101.7116
2022-07-29,RISK-ON,5.4635
2022-08-01,RISK-OFF,-30.6898
2022-08-02,EUPHORIA,47.3486
2022-08-03,RISK-OFF,-63.485
2022-08-04,EUPHORIA,84.0831
2022-08-05,EUPHORIA,63.2537
2022-08-08,EUPHORIA,109.0548
2022-08-09,RISK-OFF,-15.4425
2022-08-10,EUPHORIA,18.3049
2022-08-11,RISK-OFF,-92.5163
2022-08-12,EUPHORIA,87.5185
2022-08-15,NEUTRAL,2.6061
2022-08-16,RISK-OFF,-54.0446
2022-08-17,NEUTRAL,3.7049
2022-08-18,EUPHORIA,14.4655
2022-08-19,RISK-OFF,-58.1296
2022-08-22,RISK-OFF,-62.4539
2022-08-23,EUPHORIA,139.1026
2022-08-24,NEUTRAL,0.4235
2022-08-25,NEUTRAL,0.6332
2022-08-26,CAUTION,-4.0484
2022-08-29,EUPHORIA,25.3868
2022-08-30,RISK-OFF,-69.4637
2022-08-31,RISK-OFF,-59.9283
2022-09-01,CAUTION,-3.8331
2022-09-02,EUPHORIA,58.5642
2022-09-06,EUPHORIA,23.8749
2022-09-07,EUPHORIA,40.7088
2022-09-08,RISK-OFF,-18.11
2022-09-09,EUPHORIA,71.7574
2022-09-12,EUPHORIA,8.923
2022-09-13,RISK-OFF,-112.0302
2022-09-14,RISK-OFF,-65.7668
2022-09-15,EUPHORIA,34.1471
2022-09-16,EUPHORIA,12.8322
2022-09-19,EUPHORIA,102.2003
2022-09-20,EUPHORIA,44.8319
2022-09-21,RISK-OFF,-39.3263
2022-09-22,EUPHORIA,136.2154
2022-09-23,RISK-OFF,-74.9991
2022-09-26,RISK-OFF,-124.4551
2022-09-27,EUPHORIA,16.1456
2022-09-28,RISK-OFF,-19.8344
2022-09-29,RISK-OFF,-17.7022
2022-09-30,EUPHORIA,69.2764
2022-10-03,EUPHORIA,268.8551
2022-10-04,RISK-OFF,-28.2384
2022-10-05,NEUTRAL,1.5254
2022-10-06,RISK-ON,5.1145
2022-10-07,RISK-ON,5.8078
2022-10-10,EUPHORIA,23.0726
2022-10-11,RISK-OFF,-64.5711
2022-10-12,CAUTION,-4.4285
2022-10-13,RISK-OFF,-11.1311
2022-10-14,RISK-OFF,-48.2842
2022-10-17,EUPHORIA,108.8283
2022-10-18,EUPHORIA,102.1655
2022-10-19,EUPHORIA,57.5033
2022-10-20,EUPHORIA,54.3865
2022-10-21,EUPHORIA,134.8179
2022-10-24,RISK-OFF,-199.506
2022-10-25,RISK-OFF,-110.2941
2022-10-26,RISK-OFF,-58.0416
2022-10-27,EUPHORIA,119.7281
2022-10-28,NEUTRAL,-0.0738
2022-10-31,EUPHORIA,31.211
2022-11-01,EUPHORIA,94.1831
2022-11-02,RISK-OFF,-121.5458
2022-11-03,EUPHORIA,102.2941
2022-11-04,RISK-OFF,-29.5247
2022-11-07,RISK-OFF,-152.1475
2022-11-08,EUPHORIA,73.2028
2022-11-09,RISK-OFF,-34.9318
2022-11-10,RISK-OFF,-212.5014
2022-11-11,EUPHORIA,123.9718
2022-11-14,CAUTION,-6.3543
2022-11-15,RISK-ON,5.7572
2022-11-16,RISK-OFF,-115.1055
2022-11-17,RISK-OFF,-36.6281
2022-11-18,NEUTRAL,1.7048
2022-11-21,EUPHORIA,10.8487
2022-11-22,RISK-OFF,-100.9254
2022-11-23,RISK-OFF,-17.8494
2022-11-25,EUPHORIA,28.0592
2022-11-28,EUPHORIA,24.8683
2022-11-29,EUPHORIA,88.8703
2022-11-30,EUPHORIA,99.5865
2022-12-01,RISK-OFF,-17.5339
2022-12-02,EUPHORIA,74.0325
2022-12-05,RISK-ON,4.4359
2022-12-06,EUPHORIA,76.0549
2022-12-07,RISK-OFF,-93.5079
2022-12-08,RISK-OFF,-76.2098
2022-12-09,RISK-OFF,-53.7706
2022-12-12,RISK-OFF,-99.0934
2022-12-13,RISK-OFF,-120.5467
2022-12-14,EUPHORIA,63.2305
2022-12-15,RISK-OFF,-62.4613
2022-12-16,EUPHORIA,14.3941
2022-12-19,EUPHORIA,147.8177
2022-12-20,EUPHORIA,148.6241
2022-12-21,EUPHORIA,11.9402
2022-12-22,EUPHORIA,74.7553
2022-12-23,EUPHORIA,47.92
2022-12-27,RISK-OFF,-104.4741
2022-12-28,EUPHORIA,117.87
2022-12-29,NEUTRAL,-0.7576
2022-12-30,RISK-ON,5.6999
2023-01-03,RISK-OFF,-123.0357
2023-01-04,EUPHORIA,21.4467
2023-01-05,EUPHORIA,178.4772
2023-01-06,EUPHORIA,102.0632
2023-01-09,RISK-OFF,-54.451
2023-01-10,EUPHORIA,136.2294
2023-01-11,EUPHORIA,44.0012
2023-01-12,EUPHORIA,15.599
2023-01-13,EUPHORIA,24.6872
2023-01-17,RISK-OFF,-26.266
2023-01-18,EUPHORIA,50.7503
2023-01-19,EUPHORIA,15.908
2023-01-20,RISK-OFF,-11.0686
2023-01-23,RISK-OFF,-52.9806
2023-01-24,EUPHORIA,85.5352
2023-01-25,EUPHORIA,118.9293
2023-01-26,EUPHORIA,25.9413
2023-01-27,RISK-OFF,-79.3105
2023-01-30,EUPHORIA,41.9635
2023-01-31,EUPHORIA,43.1194
2023-02-01,EUPHORIA,38.4781
2023-02-02,RISK-OFF,-27.5361
2023-02-03,RISK-OFF,-43.6061
2023-02-06,RISK-OFF,-40.7587
2023-02-07,RISK-OFF,-73.008
2023-02-08,EUPHORIA,101.1706
2023-02-09,RISK-OFF,-77.581
2023-02-10,RISK-OFF,-16.6696
2023-02-13,EUPHORIA,87.228
2023-02-14,RISK-OFF,-72.6537
2023-02-15,EUPHORIA,64.4717
2023-02-16,EUPHORIA,25.9573
2023-02-17,EUPHORIA,51.7693
