date,snap_t,ticker,sector,side,entry_px,vwap_dev_z,hour_balance_dev_z,range_pctile,atr_14,exit_px,exit_reason,pnl_pct_gross,pnl_pct_net_s1
2023-01-19,11:00:00,KOTAKBANK,Banks,SHORT,1785.1000,2.3652,1.4896,84.98,5.2531,1768.1000,TIME_STOP,0.009523,0.006523
2023-01-20,11:15:00,BAJFINANCE,NBFC_HFC,LONG,5944.2998,-1.9272,-1.3852,28.02,13.8251,5920.1059,STOP,-0.004070,-0.007070
2023-01-20,11:00:00,COFORGE,IT_Services,SHORT,4210.0000,2.5187,2.2629,89.32,20.9463,4246.6560,STOP,-0.008707,-0.011707
2023-01-20,12:45:00,DRREDDY,Pharma,LONG,4339.5000,-1.8762,-1.4211,39.57,11.7342,4345.2500,TIME_STOP,0.001325,-0.001675
2023-01-23,10:00:00,BAJFINANCE,NBFC_HFC,SHORT,5925.0498,2.0478,2.6163,39.74,14.2281,5872.0000,TIME_STOP,0.008953,0.005953
2023-01-23,10:15:00,COFORGE,IT_Services,SHORT,4200.8999,2.5580,3.9195,85.96,20.8702,4237.4227,STOP,-0.008694,-0.011694
2023-01-23,11:45:00,NAUKRI,IT_Services,SHORT,3748.0000,2.0536,1.5085,60.85,17.5667,3750.8999,TIME_STOP,-0.000774,-0.003774
2023-01-24,11:15:00,BAJFINANCE,NBFC_HFC,LONG,5866.6001,-2.2200,-1.4830,8.12,13.9749,5851.5000,TIME_STOP,-0.002574,-0.005574
2023-01-24,13:45:00,COFORGE,IT_Services,LONG,4333.3999,-3.6578,-1.8913,71.31,24.2029,4345.0498,TIME_STOP,0.002688,-0.000312
2023-01-24,11:00:00,CANBK,Banks,LONG,322.1000,-1.8296,-1.2538,41.95,1.6151,319.2736,STOP,-0.008775,-0.011775
2023-01-24,10:30:00,DRREDDY,Pharma,LONG,4302.0000,-1.9694,-2.8296,54.66,12.3867,4280.3232,STOP,-0.005039,-0.008039
2023-01-24,10:45:00,NAUKRI,IT_Services,LONG,3727.0500,-1.7843,-1.8487,25.42,18.0528,3737.7500,TIME_STOP,0.002871,-0.000129
2023-01-30,10:30:00,NAUKRI,IT_Services,LONG,3704.0000,-1.7578,-1.3588,89.03,18.4544,3711.6001,TIME_STOP,0.002052,-0.000948
2023-02-10,10:30:00,SHRIRAMFIN,NBFC_HFC,LONG,1278.5000,-1.9918,-1.8979,71.43,7.3636,1276.9500,TIME_STOP,-0.001212,-0.004212
2023-02-13,11:45:00,BAJFINANCE,NBFC_HFC,LONG,6323.0000,-2.5724,-2.1934,77.31,16.8689,6360.0000,TIME_STOP,0.005852,0.002852
2023-02-13,13:15:00,COFORGE,IT_Services,LONG,4022.0000,-1.7502,-1.3956,49.17,28.2317,4050.9500,TIME_STOP,0.007198,0.004198
2023-02-14,11:00:00,BAJFINANCE,NBFC_HFC,SHORT,6404.2002,2.4834,2.2956,46.44,17.4464,6434.7314,STOP,-0.004767,-0.007767
2023-02-15,10:00:00,BAJFINANCE,NBFC_HFC,SHORT,6473.9502,1.7526,2.4560,37.92,18.0372,6475.0000,TIME_STOP,-0.000162,-0.003162
2023-02-22,10:00:00,BAJFINANCE,NBFC_HFC,LONG,6246.0000,-3.4211,-4.5037,73.66,14.2105,6221.1315,STOP,-0.003982,-0.006982
