trigger_id,ticker,sector,side,date,snap_t,entry_px,horizon_D,variant,exit_dt,exit_px,holding_days,outcome,bps_gross,bps_net_s1,bps_net_s1_on
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,3,CLOSE,2022-04-21 15:25:00,1392.000000,3,FORCED_CLOSE,131.7418,101.7418,86.7418
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,4,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,4,CLOSE,2022-04-22 15:25:00,1387.000000,4,FORCED_CLOSE,95.3490,65.3490,45.3490
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,5,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,5,CLOSE,2022-04-25 15:25:00,1359.349975,5,FORCED_CLOSE,-105.9031,-135.9031,-160.9031
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,0,VWAP_TOUCH,2022-04-28 15:25:00,1388.000000,0,FORCE_CLOSE_NO_TOUCH,-198.0089,-228.0089,-228.0089
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,0,CLOSE,2022-04-28 15:25:00,1388.000000,0,FORCED_CLOSE,-198.0089,-228.0089,-228.0089
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,1,VWAP_TOUCH,2022-04-29 09:20:00,1406.416626,1,VWAP_TOUCH,-333.3208,-363.3208,-368.3208
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,1,CLOSE,2022-04-29 15:25:00,1431.500000,1,FORCED_CLOSE,-517.6151,-547.6151,-552.6151
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,2,VWAP_TOUCH,2022-04-29 09:20:00,1406.416626,1,VWAP_TOUCH,-333.3208,-363.3208,-368.3208
,MCX,Capital_Markets,SHORT,2022-04-28,12:15:00,1361.050000,2,CLOSE,2022-05-02 15:25:00,1430.599975,2,FORCED_CLOSE,-511.0024,-541.0024,-551.0024
