symbol,event_date,horizon,regime,direction_proxy,trust_tier,entry_S,exit_S,call_entry_premium,call_exit,put_entry_premium,put_exit,straddle_entry_premium,straddle_exit,pnl_futures_bps,pnl_long_call_bps,pnl_long_put_bps,pnl_long_straddle_bps,call_premium_pct_S,put_premium_pct_S
AXISBANK,2022-07-25,3,RISK-ON,BEAT_LIKE,HIGH,728.82,717.05,21.64,14.14,17.2,22.08,38.83,36.22,-161.48,-3462.54,2838.44,-672.29,2.969,2.359
AXISBANK,2022-07-25,5,RISK-ON,BEAT_LIKE,HIGH,728.82,722.84,21.64,15.69,17.2,18.24,38.83,33.94,-82.11,-2746.33,609.93,-1260.08,2.969,2.359
AXISBANK,2022-07-25,10,RISK-ON,BEAT_LIKE,HIGH,728.82,726.58,21.64,14.37,17.2,14.19,38.83,28.56,-30.79,-3358.5,-1749.01,-2645.78,2.969,2.359
AXISBANK,2022-07-25,21,RISK-ON,BEAT_LIKE,HIGH,728.82,748.17,21.64,19.35,17.2,0.0,38.83,19.35,265.48,-1057.29,-10000.0,-5017.37,2.969,2.359
AXISBANK,2022-10-20,1,NEUTRAL,MISS_LIKE,HIGH,827.66,823.67,32.57,29.64,27.52,28.81,60.09,58.45,-48.2,-899.72,467.94,-273.27,3.935,3.325
AXISBANK,2022-10-20,3,NEUTRAL,MISS_LIKE,HIGH,827.66,907.05,32.57,88.34,27.52,4.59,60.09,92.93,959.21,17126.26,-8331.09,5465.72,3.935,3.325
AXISBANK,2022-10-20,5,NEUTRAL,MISS_LIKE,HIGH,827.66,912.73,32.57,92.26,27.52,3.29,60.09,95.56,1027.9,18331.45,-8804.34,5902.12,3.935,3.325
AXISBANK,2022-10-20,10,NEUTRAL,MISS_LIKE,HIGH,827.66,861.77,32.57,45.68,27.52,8.81,60.09,54.49,412.12,4026.14,-6797.7,-931.63,3.935,3.325
AXISBANK,2022-10-20,21,NEUTRAL,MISS_LIKE,HIGH,827.66,867.75,32.57,40.09,27.52,0.0,60.09,40.09,484.42,2311.47,-10000.0,-3327.7,3.935,3.325
AXISBANK,2023-01-23,1,NEUTRAL,BEAT_LIKE,HIGH,928.09,930.24,24.16,24.74,18.51,17.2,42.67,41.95,23.1,240.51,-706.11,-170.09,2.604,1.994
AXISBANK,2023-01-23,3,NEUTRAL,BEAT_LIKE,HIGH,928.09,889.99,24.16,7.08,18.51,40.3,42.67,47.38,-410.51,-7068.0,11772.48,1103.99,2.604,1.994
AXISBANK,2023-01-23,5,NEUTRAL,BEAT_LIKE,HIGH,928.09,869.55,24.16,2.56,18.51,56.73,42.67,59.29,-630.81,-8940.07,20652.2,3895.47,2.604,1.994
AXISBANK,2023-01-23,10,NEUTRAL,BEAT_LIKE,HIGH,928.09,880.32,24.16,2.3,18.51,46.99,42.67,49.29,-514.75,-9047.28,15386.2,1550.65,2.604,1.994
AXISBANK,2023-01-23,21,NEUTRAL,BEAT_LIKE,HIGH,928.09,841.82,24.16,0.0,18.51,86.27,42.67,86.27,-929.56,-10000.0,36610.82,10217.27,2.604,1.994
AXISBANK,2023-04-27,1,RISK-ON,MISS_LIKE,HIGH,885.3,879.07,18.64,14.85,13.25,15.93,31.89,30.78,-70.41,-2035.5,2025.25,-348.52,2.106,1.497
AXISBANK,2023-04-27,3,RISK-ON,MISS_LIKE,HIGH,885.3,868.35,18.64,9.22,13.25,21.51,31.89,30.73,-191.52,-5054.67,6238.76,-362.98,2.106,1.497
AXISBANK,2023-04-27,5,RISK-ON,MISS_LIKE,HIGH,885.3,863.66,18.64,6.72,13.25,24.2,31.89,30.92,-244.47,-6393.11,8262.93,-304.47,2.106,1.497
AXISBANK,2023-04-27,10,RISK-ON,MISS_LIKE,HIGH,885.3,893.58,18.64,18.2,13.25,6.97,31.89,25.17,93.51,-239.67,-4738.04,-2108.45,2.106,1.497
AXISBANK,2023-04-27,21,RISK-ON,MISS_LIKE,HIGH,885.3,924.5,18.64,39.2,13.25,0.0,31.89,39.2,442.74,11025.3,-10000.0,2290.64,2.106,1.497
AXISBANK,2023-07-26,1,NEUTRAL,BEAT_LIKE,HIGH,960.94,975.21,18.81,27.38,12.95,7.52,31.76,34.9,148.57,4559.26,-4196.83,988.2,1.957,1.348
AXISBANK,2023-07-26,3,NEUTRAL,BEAT_LIKE,HIGH,960.94,948.41,18.81,11.08,12.95,18.55,31.76,29.63,-130.39,-4110.26,4319.42,-672.32,1.957,1.348
AXISBANK,2023-07-26,5,NEUTRAL,BEAT_LIKE,HIGH,960.94,958.34,18.81,14.79,12.95,12.85,31.76,27.64,-27.01,-2138.5,-76.4,-1297.5,1.957,1.348
AXISBANK,2023-07-26,10,NEUTRAL,BEAT_LIKE,HIGH,960.94,951.35,18.81,8.65,12.95,15.03,31.76,23.68,-99.74,-5403.26,1604.59,-2545.2,1.957,1.348
AXISBANK,2023-07-26,21,NEUTRAL,BEAT_LIKE,HIGH,960.94,979.76,18.81,18.82,12.95,0.0,31.76,18.82,195.84,6.04,-10000.0,-4074.79,1.957,1.348
AXISBANK,2023-10-25,1,NEUTRAL,MISS_LIKE,HIGH,962.73,953.9,27.93,22.62,22.06,25.86,49.99,48.47,-91.78,-1900.27,1720.2,-302.45,2.901,2.291
AXISBANK,2023-10-25,3,NEUTRAL,MISS_LIKE,HIGH,962.73,1001.12,27.93,51.42,22.06,7.96,49.99,59.38,398.73,8412.48,-6390.36,1879.55,2.901,2.291
AXISBANK,2023-10-25,5,NEUTRAL,MISS_LIKE,HIGH,962.73,980.26,27.93,34.85,22.06,12.79,49.99,47.64,182.0,2478.34,-4202.4,-470.06,2.901,2.291
AXISBANK,2023-10-25,10,NEUTRAL,MISS_LIKE,HIGH,962.73,1019.24,27.93,62.07,22.06,2.36,49.99,64.44,586.95,12228.51,-8928.88,2891.13,2.901,2.291
AXISBANK,2023-10-25,21,NEUTRAL,MISS_LIKE,HIGH,962.73,997.43,27.93,34.69,22.06,0.0,49.99,34.69,360.36,2423.5,-10000.0,-3059.36,2.901,2.291
AXISBANK,2024-01-23,1,NEUTRAL,MISS_LIKE,HIGH,1114.74,1087.48,30.19,16.66,23.4,37.44,53.59,54.1,-244.5,-4480.22,6000.0,95.75,2.708,2.099
AXISBANK,2024-01-23,3,NEUTRAL,MISS_LIKE,HIGH,1114.74,1040.56,30.19,3.82,23.4,72.13,53.59,75.95,-665.44,-8735.02,20828.78,4173.41,2.708,2.099
AXISBANK,2024-01-23,5,NEUTRAL,MISS_LIKE,HIGH,1114.74,1052.39,30.19,4.76,23.4,61.86,53.59,66.62,-559.31,-8422.73,16438.56,2432.44,2.708,2.099
AXISBANK,2024-01-23,10,NEUTRAL,MISS_LIKE,HIGH,1114.74,1048.34,30.19,2.15,23.4,64.83,53.59,66.98,-595.58,-9289.02,17708.01,2498.68,2.708,2.099
AXISBANK,2024-01-23,21,NEUTRAL,MISS_LIKE,HIGH,1114.74,1082.44,30.19,0.0,23.4,32.3,53.59,32.3,-289.73,-10000.0,3804.05,-3972.74,2.708,2.099
AXISBANK,2024-04-24,1,NEUTRAL,BEAT_LIKE,HIGH,1054.04,1061.52,26.71,30.35,20.29,16.74,46.99,47.09,71.04,1365.39,-1749.96,20.57,2.534,1.925
AXISBANK,2024-04-24,3,NEUTRAL,BEAT_LIKE,HIGH,1054.04,1128.46,26.71,81.95,20.29,1.98,46.99,83.93,706.13,20685.41,-9025.1,7860.08,2.534,1.925
AXISBANK,2024-04-24,5,NEUTRAL,BEAT_LIKE,HIGH,1054.04,1164.01,26.71,115.27,20.29,0.33,46.99,115.59,1043.33,33157.51,-9837.86,14597.43,2.534,1.925
AXISBANK,2024-04-24,10,NEUTRAL,BEAT_LIKE,HIGH,1054.04,1126.82,26.71,77.1,20.29,0.81,46.99,77.91,690.5,18868.01,-9599.81,6579.13,2.534,1.925
AXISBANK,2024-04-24,21,NEUTRAL,BEAT_LIKE,HIGH,1054.04,1172.09,26.71,118.06,20.29,0.0,46.99,118.06,1120.06,34203.01,-10000.0,15121.62,2.534,1.925
BANDHANBNK,2021-11-09,1,RISK-ON,BEAT_LIKE,LOW,288.69,299.83,20.26,26.37,18.5,13.56,38.76,39.93,385.79,3016.26,-2673.4,300.51,7.018,6.409
BANDHANBNK,2021-11-09,3,RISK-ON,BEAT_LIKE,LOW,288.69,299.78,20.26,25.34,18.5,12.74,38.76,38.08,384.09,2508.41,-3116.92,-176.63,7.018,6.409
BANDHANBNK,2021-11-09,5,RISK-ON,BEAT_LIKE,LOW,288.69,305.4,20.26,28.03,18.5,9.96,38.76,37.98,578.68,3832.23,-4617.16,-200.77,7.018,6.409
BANDHANBNK,2021-11-09,10,RISK-ON,BEAT_LIKE,LOW,288.69,299.44,20.26,21.19,18.5,9.48,38.76,30.68,372.25,459.61,-4873.59,-2085.99,7.018,6.409
BANDHANBNK,2021-11-09,21,RISK-ON,BEAT_LIKE,LOW,288.69,276.33,20.26,0.0,18.5,12.36,38.76,12.36,-428.09,-10000.0,-3320.5,-6811.79,7.018,6.409
BANDHANBNK,2022-01-21,1,NEUTRAL,BEAT_LIKE,LOW,293.04,288.69,10.12,7.67,8.34,10.31,18.46,17.97,-148.36,-2426.97,2364.99,-262.72,3.454,2.845
BANDHANBNK,2022-01-21,3,NEUTRAL,BEAT_LIKE,LOW,293.04,316.68,10.12,26.63,8.34,1.44,18.46,28.07,806.8,16306.57,-8268.54,5207.43,3.454,2.845
BANDHANBNK,2022-01-21,5,NEUTRAL,BEAT_LIKE,LOW,293.04,309.65,10.12,20.23,8.34,2.24,18.46,22.48,566.76,9988.28,-7308.37,2176.39,3.454,2.845
