event_symbol,event_date,sector,event_direction,event_regime,peer_symbol,peer_ret_h1_bps,peer_ret_h3_bps,peer_ret_h5_bps
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,-60.27727887076269,-108.76151945259407,-54.23335960312454
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,INDIANB,203.21595886494924,345.0461146241437,237.6767153698169
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,-92.19803162697943,44.92656461118604,106.67130606495601
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,126.70427676397861,116.92610568848974,131.30241103623294
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,PNB,-20.526779133415737,149.25625281691728,236.4184424420099
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,RBLBANK,-112.76713452725677,-44.953955413201975,330.86323933573544
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,SBIN,6.189678684799464,121.33987244486502,160.5922717804416
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,188.77845068381373,598.5738053053125,407.8189047933614
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,YESBANK,0.0,62.49984768300368,459.4994783515067
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,AXISBANK,180.65603260869264,241.71832760666192,235.16157902409327
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANDHANBNK,105.79680268996987,357.8554473066023,353.48757093758405
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANKBARODA,312.1860980699964,866.4431419167349,1170.732128271914
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANKINDIA,299.6484384073834,551.0740398942207,1419.08712872601
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,CANBK,196.84711348026053,352.61805526121145,1002.2168770943935
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,CUB,154.6059865366916,258.66477846085405,-283.73339278207453
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,FEDERALBNK,254.14690654789672,380.5375520845455,281.611211172648
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,HDFCBANK,136.7009896698339,190.86308745054876,78.09699413573279
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,ICICIBANK,63.66113810995744,178.60250493239928,138.15650083198966
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,IDFCFIRSTB,421.9517678282379,523.232871359703,307.5273156049261
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,INDIANB,422.9723434258828,797.7543525623029,1699.9731712828539
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,INDUSINDBK,97.40814003909307,144.77997725375207,142.82386914305113
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,KOTAKBANK,303.5351899528993,316.41811409058124,303.80952114793337
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,PNB,283.03734091382245,905.1399511587891,1823.215821311133
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,RBLBANK,-3.919846531431572,209.4308400629509,371.23215434933473
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,SBIN,165.09318379758463,442.9216776332392,584.7682363624037
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,UNIONBANK,123.91774636652255,-35.68862370426553,584.6390290344714
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,YESBANK,-203.25902698825485,-306.4591156830353,-473.82687560908937
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,AXISBANK,582.2901691987959,864.4304208484342,783.0126661065176
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,BANDHANBNK,40.71174990023695,2.7188854863589698,368.434819733807
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,BANKBARODA,361.95240679966867,507.913931932698,754.3026749627685
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,BANKINDIA,400.3251610623653,746.765456456244,486.4188762012031
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,CANBK,327.925906037568,392.5615015558823,516.6182201947174
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,CUB,102.36864929446466,216.29327390963164,418.7603803529466
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,FEDERALBNK,151.83582145257498,436.3047187121535,896.1210411310539
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,HDFCBANK,-6.285323512282889,117.06147259852483,135.02496750379177
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,ICICIBANK,153.81428327526498,561.9805783288848,381.94405783910054
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,IDFCFIRSTB,5.996800172661541,-206.06746197126748,-218.32289138636287
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,INDIANB,329.82748418159457,919.2618104098801,753.3267848992882
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,INDUSINDBK,144.4104624682779,85.0811488179368,205.05048043762534
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,KOTAKBANK,-1150.9714347142976,-1163.460849335825,-1566.1823189697104
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,PNB,215.70183355004968,314.5501809197124,372.6681357211413
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,RBLBANK,26.657030544839323,24.75514418912574,181.37619780636365
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,SBIN,499.537190299652,667.9152728180267,710.7755854249344
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,UNIONBANK,195.22617613658423,635.3945861036414,500.5181490029413
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,YESBANK,194.55866037755607,628.1796898752285,0.0
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,AUBANK,136.9188341918585,336.290957194134,912.7229086444877
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,BANDHANBNK,515.9375114444302,291.31418957805744,363.6190750425019
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,BANKBARODA,617.674375680938,1093.4822178784766,1365.640679914709
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,BANKINDIA,231.89442001677455,771.0583855618006,734.7936175505504
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,CANBK,590.7315746596569,1351.4718607871703,2149.6447971458856
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,CUB,298.3176890576822,333.2462390210785,440.75510958365226
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,FEDERALBNK,409.95912689284876,853.7969800485046,858.7856446659348
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,HDFCBANK,9.41272844566667,-158.65401139523803,69.37757243823633
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,ICICIBANK,39.996797332547175,-219.05199070890637,147.32069756050916
